   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP    VID   POWER
2021-01-09  16:45:22  29.34   96.3  100.0       0   75   1.2377   26.8   PL2
2021-01-09  16:45:22  37.63   85.3  100.0       0   74   1.1602   32.9
2021-01-09  16:45:22  39.19   66.1  100.0       0   72   1.1637   31.0
2021-01-09  16:45:22  39.65   61.8  100.0       0   70   1.1727   29.3
2021-01-09  16:45:22  38.39   72.3  100.0       0   75   1.2434   32.9
2021-01-09  16:45:23  38.64   72.3  100.0       0   71   1.2404   31.8
2021-01-09  16:45:23  32.49   66.0  100.0       0   66   0.9772   21.3   PL2
2021-01-09  16:45:23  31.02   74.0  100.0       0   65   0.9730   20.3   PL2
2021-01-09  16:45:23  31.97   66.2  100.0       0   66   1.0690   19.9   PL2
2021-01-09  16:45:23  32.04   64.0  100.0       0   65   0.9197   19.5   PL2
2021-01-09  16:45:23  31.68   72.9  100.0       0   65   1.2086   20.2   PL2
2021-01-09  16:45:23  32.57   65.3  100.0       0   65   0.8784   20.4   PL2
2021-01-09  16:45:23  32.24   67.0  100.0       0   64   1.1022   19.7   PL2
2021-01-09  16:45:24  31.57   74.8  100.0       0   65   0.9592   19.7   PL2
2021-01-09  16:45:24  31.77   72.6  100.0       0   64   1.1256   19.9   PL2
2021-01-09  16:45:24  36.31   48.9  100.0       0   65   1.2477   18.9   PL2
2021-01-09  16:45:24  34.68   61.3  100.0       0   65   1.0068   18.4   PL2
2021-01-09  16:45:24  29.84   86.2  100.0       0   65   0.9214   20.6   PL2
2021-01-09  16:45:24  31.02   78.8  100.0       0   65   1.0498   19.6   PL2
2021-01-09  16:45:24  31.84   72.2  100.0       0   66   0.8956   19.7   PL2
2021-01-09  16:45:24  31.42   74.7  100.0       0   65   0.9591   20.3   PL2
2021-01-09  16:45:25  32.05   70.0  100.0       0   64   1.0789   19.6   PL2
2021-01-09  16:45:25  31.76   74.1  100.0       0   66   0.9808   20.2   PL2
2021-01-09  16:45:25  32.21   71.1  100.0       0   65   1.0592   20.2   PL2
2021-01-09  16:45:25  32.56   66.0  100.0       0   66   1.1152   19.5   PL2
2021-01-09  16:45:25  32.94   64.9  100.0       0   65   1.1709   19.9   PL2
2021-01-09  16:45:25  32.30   69.0  100.0       0   67   1.0294   20.3   PL2
2021-01-09  16:45:25  32.38   67.3  100.0       0   65   0.9897   20.1   PL2
2021-01-09  16:45:25  32.18   69.8  100.0       0   66   1.0024   19.5   PL2
2021-01-09  16:45:26  32.44   68.1  100.0       0   65   0.9983   20.6   PL2
2021-01-09  16:45:26  32.81   68.2  100.0       0   64   1.0481   19.3   PL2
2021-01-09  16:45:26  33.04   66.3  100.0       0   65   1.1143   20.4   PL2
2021-01-09  16:45:26  33.32   66.1  100.0       0   64   0.9683   19.6   PL2
2021-01-09  16:45:26  33.23   60.4  100.0       0   70   1.2360   19.8   PL2
2021-01-09  16:45:26  33.94   60.4  100.0       0   67   1.0010   19.8   PL2
2021-01-09  16:45:26  33.05   67.6  100.0       0   64   1.0144   19.9   PL2
2021-01-09  16:45:26  32.53   68.4  100.0       0   66   1.1526   20.2   PL2
2021-01-09  16:45:27  32.82   64.1  100.0       0   65   1.0380   19.8   PL2
2021-01-09  16:45:27  31.94   71.4  100.0       0   65   0.9806   20.0   PL2
2021-01-09  16:45:27  31.06   78.6  100.0       0   65   1.0771   19.7   PL2
2021-01-09  16:45:27  32.00   72.4  100.0       0   65   1.0809   20.0   PL2
2021-01-09  16:45:27  32.15   70.1  100.0       0   66   1.2131   20.6   PL2
2021-01-09  16:45:27  31.21   76.7  100.0       0   65   0.9769   20.1   PL2
2021-01-09  16:45:27  31.96   74.0  100.0       0   66   0.9957   19.7   PL2
2021-01-09  16:45:27  30.82   79.2  100.0       0   66   0.9509   19.7   PL2
2021-01-09  16:45:28  30.39   81.1  100.0       0   64   1.1746   20.0   PL2
2021-01-09  16:45:28  31.33   75.7  100.0       0   65   1.0061   19.7   PL2
2021-01-09  16:45:28  31.42   75.1  100.0       0   64   0.9773   20.0   PL2
2021-01-09  16:45:28  31.38   74.4  100.0       0   66   0.9496   20.3   PL2
2021-01-09  16:45:28  32.12   68.9  100.0       0   66   1.0321   19.6   PL2
2021-01-09  16:45:28  32.14   69.8  100.0       0   66   1.1536   20.2   PL2
2021-01-09  16:45:28  31.31   75.5  100.0       0   65   1.0072   20.3   PL2
2021-01-09  16:45:28  31.78   72.6  100.0       0   64   1.1663   19.6   PL2
2021-01-09  16:45:29  32.45   70.3  100.0       0   64   0.9794   20.5   PL2
2021-01-09  16:45:29  32.02   68.7  100.0       0   66   1.1099   19.2   PL2
2021-01-09  16:45:29  32.15   70.1  100.0       0   67   0.9999   20.2   PL2
2021-01-09  16:45:29  30.91   77.7  100.0       0   65   0.9189   19.7   PL2
